x1,y1,x2,y2,upper_intercept_x,upper_intercept_y,lower_intercept_x,lower_intercept_y
-29.04,-36.83,-41.26,-1.33,-39.74,-0.81,-29.06,-36.78
-27.53,-36.25,-39.83,-0.54,-38.31,-0.02,-27.55,-36.20
-26.03,-35.68,-38.40,0.25,-36.88,0.78,-26.05,-35.62
-24.53,-35.10,-36.97,1.04,-35.45,1.57,-24.55,-35.05
-23.02,-34.52,-35.54,1.83,-34.02,2.36,-23.04,-34.47
-21.52,-33.95,-34.11,2.63,-32.59,3.15,-21.54,-33.89
-20.02,-33.37,-32.68,3.42,-31.16,3.94,-20.04,-33.32
-18.52,-32.79,-31.26,4.21,-29.73,4.73,-18.53,-32.74
-17.01,-32.21,-29.83,5.00,-28.30,5.52,-17.03,-32.16
-15.51,-31.64,-28.40,5.79,-26.87,6.31,-15.53,-31.58
-14.01,-31.06,-26.97,6.58,-25.45,7.11,-14.02,-31.01
-12.50,-30.48,-25.54,7.37,-24.02,7.90,-12.52,-30.43
