lat,lng,Distance_km,Slope,X,Y
40.4852312,-80.3322443,0.00044749347481277057,0.2846189591162299,40.35564721493593,-1.7455661654991252
40.4852321,-80.3322439,0.0004481252057217145,0.28644382543777797,40.38951332872314,-1.6453784414730743
40.4852425,-80.3322475,0.0004476631322811548,0.31320224718881534,40.08470722702803,-0.487657379076967
40.4852434,-80.3322476,0.0004478375821630271,0.3153828143410773,40.07624002664289,-0.38746988129438603
40.4852445,-80.3322476,0.0004481696665296148,0.3179583235863456,40.07623936984242,-0.2650184422821534
40.4852455,-80.3322476,0.00044847368930248327,0.3202996956244739,40.076238772757364,-0.15369895175615123
40.4852465,-80.3322478,0.0004485894002268095,0.3227922230184067,40.05930485184416,-0.04237955116073571
40.4852476,-80.332248,0.0004487383424597121,0.32552144365122976,40.04237087177749,0.08007179756668718
40.4852486,-80.3322483,0.00044876382429499,0.32809568480838713,40.01697029084895,0.1913911524886337
40.4852497,-80.3322484,0.0004490130176292736,0.33075299084914367,40.008502974122,0.313842546181441
40.4852507,-80.3322484,0.0004493280427503338,0.33309875675244793,40.008502378043815,0.42516203776965833
40.4852517,-80.3322483,0.00044973988037094146,0.33536585366564914,40.016968442629214,0.5364815732611206
40.4852526,-80.3322481,0.00045021635909754014,0.33731833100249964,40.03390122832813,0.6366692066478264
40.4852535,-80.3322479,0.0004506942200649772,0.3392689784470135,40.05083401358874,0.7368568382645257
40.4852544,-80.3322476,0.000451268102127659,0.34113790682703365,40.076233458695555,0.8370445169706188
40.4852553,-80.3322474,0.00045174865799338046,0.34308448397224106,40.093166242922294,0.9372321492951828
40.4852562,-80.3322471,0.00045232511537250376,0.3449485500607938,40.11856568679873,1.0374198272935762
40.485257,-80.3322469,0.0004527755845861292,0.3466573165038153,40.13549852979265,1.12647551077775
40.4852578,-80.3322467,0.00045322710642676535,0.3483644859854355,40.15243137239527,1.215531194616325
40.4852586,-80.3322465,0.00045367967774924075,0.35007006072674596,40.169364214618575,1.304586877747583
40.4852594,-80.3322463,0.0004541332954135811,0.35177404294469067,40.18629705640324,1.393642561231773
